Vůdce Ukrajiny slibuje krizové rozhovory	Vůdce Ukrajiny slibuje krizové rozhovory
Při útoku v Iráku bylo zabito 7 osob	Při sérii útoků zahynulo v Iráku 16 osob
Záplavy v centrální Evropě pokračují a tvoří pohromu 	Evropské záplavy pokračují a tvoří pohromu
Americká vojenská přítomnost ve východní Asii	Vojenská přítomnost NATO uprostřed ruské hrozby
USA věří, že syrská vláda použila chemické zbraně	USA předpokládá, že syrská vláda použila chemické zbraně
Světové velmoci a Írán budou pokračovat v diskusích nad výsledky jaderných expertů 30. prosince	Íránští jaderní experti a světový vůdci budou pokračovat v rozhovorech příští týden
Egyptské muslimské bratrstvo odmítá ustoupit	Egyptský soud odsoudí vůdce muslimského bratrstva k doživotí ve vězení
Nejméně 6 mrtvých při srážce autobusu a vlaku v Kanadě	Nejméně 6 mrtvých při vlakové nehodě v Paříži
Čínský prezident se setká s řeckým premiérem, výzva k silnějšímu partnerství	Čínský prezident se setká s indickým víceprezidentem
AstraZeneca zaplatí 4,1 miliardy za koupi Bristol-Myers Squibb z aliance cukrovkářů	AstraZeneca koupila cukrovkářský Bristol až za 4,1 miliardy dolarů
Italský uprchlík byl zatčen v Dominikánské Republice	Australský ledoborec dorazí do východní Antarktidy za novou záchrannou pobídkou
Indie a USA budou příští týden jednat o Číně	Egypt bude příští týden jednat s MMF ohledně půjčky
FAA zpřísní zákaz amerických letů do Tel Avivu	FAA zpřísní zákaz amerických letů do Izraele
Izrael provádí pozemní ofenzívu v Gaze	Izrael spustil pozemní ofenzívu v Gaze
Lucemburský premiér skončil uprostřed špionážního skandálu	Lucembursko hlasuje po špionážním záznamu
Ehud Olmert, bývalý izraelský premiér, byl odsouzen k šesti letům vězení za korupci	Ehud Olmert byl odsouzen k šesti letům v Izraeli
Brahimi se omlouvá Sýrii za nedostatečný mírový pokrok	Prostředník se omlouvá Syřanům za nedostatečný mírový pokrok
Egyptští demonstranti dávají Morsi ultimátum k rezignaci	Ukrajinští demonstranti se nově střetli s policií
5 věcí, které je dobré vědět o olympijských hrách v Soči	7 věcí, které je dobré vědět o Ethanolu
Čínské akcie ve středu zahájují níže	Čínské akcie v pondělí končí níže
USA oddalují raketový test, protože napětí vstoupá	William Hague: Rozhodnutí USA o zastavení raketových testů je “rozumné”
Oheň v Beijingu zabil 10 osob	Oheň v Beijingu zabil deset osob
Nejstarší muž světa zemřel ve 116 letech	Japonsko: Nejstarší muž světa jaký kdy žil zemřel ve 116 letech
Indie a Čína podepsaly dohodu o hranicích; osm dalších dohod	Indie a Čína podepsaly dohodou o přeshraničních řekách
3 mrtví a 4 pohřešovaní při stavební nehodě v centrální Číně	Jeden mrtvý a 8 pohřešovaných při lodní nehodě ve Vietnamu
Pakistan hlasoval v rozhodujících volbách	Pákistán po zabití 29 osob při útoku pořádá rozhodující volby
Venezuela vyloučí tři diplomaty USA	Venezuela vyloučí 3 diplomaty USA
Silný smog zasáhl severočínské město, letový provoz zastaven 	Silný smog zasáhl severočínské město, letový provoz zastaven
Rusko tvrdí, že překazilo možný teroristický útok	Rusko říká, že balistické "objekty" byly vypáleny ze Středomoří
V Pákistánu byli zabiti 3 čínští turisté	V jižní Nigérii bylo zabito sedm únosců
Sedm světových pohárů v rámci Keňské Äôs	Střed zájmů v otevřeném soudním řízení o smrti mladého muže v Äôs
Ozbrojenci v severním Pákistánu zabili 10 zahraničních turistů	Pákistánští islámští radikálové zabili 9 zahraničních turistů a 1 Pákistánce.
Rakušan nalezl 56 ukradených lebek v domácím muzeu	Ukradené lebky nalezeny v domácím muzeu
Egypt spouští útok proti Sinaijským radikálům	  Egypt zahajuje útok proti Sinaijským povstalcům
Rekordní vlna veder z jihozápadu bude mít nedozírné následky	Nejméně 1 mrtvý a 40 hospitalizovaných pri jihozápadní vlně veder
Detroit je vhodný na ochranu proti bankrotu: usuzuje USA	Detroit je vhodný na ochranu proti bankrotu
Prezident Alžírska je léčen po mrtvici: státní média	Bulharský prezident se snaží zabránit volebnímu debaklu
Britská spisovatelka a držitelka Nobelovy ceny Doris Lessing zemřela	Držitelka Nobelovy ceny a spisovatelka Doris Lessing zemřela
Izraelská vláda schválí nová osady před rozhovory	Izrael schvaluje nové osady ještě před mírovými rozhovory
Živě ze světového poháru: Francie 0-0 Německo	Živě ze světového poháru: Něměcko 0-0 Ghana
Tokyo hostí hry v roce 2020	Tokyo vyhrálo závod o pořádání Olympijských her v roce 2020
Pákistánský velitel Talibánu byl zabit při náletu bezpilotního letounu	Pohřeb pákistánského velitele Talibánu “se má uskutečnit”
FAA pokračuje v zákazu amerických letů do Tel Avivu	FAA zpřísní zákaz amerických letů do Tel Avivu
Francie varuje před extrémisty benefitujícími z Egyptského násilí	Francie straší, že extrémisté mohou těžit z Egyptského násilí
Čínský vyslanec vyvrací vietnamské a filipínské obvinění ohledně jihočínského moře	Čínský Xi říká, že Vietnam chce v jihočínském moři mír
Čtyři další lidé zatčeni kvůli největšímu australskému syndikátu na dovoz nelegálního tabáku	Policie se zaměřuje na nelegální tabákový syndikát
Jemen: Boje na severu si vyžádaly přes 120 obětí	Janet Yellen: Pět věcí, které možná nevíte
Obama se chystá obsadit radu FED, Fischera odsouvá na druhou pozici	Obama vyjadřuje ochotu mluvit s GOP o rozpočtu
Pákistánský Mušaraf obviněn z vraždy Bhuttova	Pákistánský Mušaraf obviněn z Bhuttovi smrti
Íránský prezident odsoudil použití chemických zbraní v Sýrii	Dokázáno používání chemických zbraní v Sýrii
OSN zve Írán na Syrskou mírovou konferenci	OSN: Írán pozván k účasti na Syrské mírové konferenci
Počet obětí nehody italského autobusu se zvyšuje	Starbucks zrušil nutnost vysokoškolského vzdělání svých pracovníků
Hráčem udeřený fotbalový rozhodčí zemřel	Policie: Utažský fotbalový sudí po hráčově úderu zemřel
Angela Merkelová směřuje k těsné výhře v německých volbách	Nový Malawijský prezident složil slib po sporných volbách
Britský náctiletý byl zabit pádem z hotelu Magaluf	 Britský náctiletý byl zabit při pádu z hotelu Magaluf
Jak zatýkací akce pokračuje, Izrael zatýká 37 Palestinců	Izrael kritizuje palestinský postoj k osadníkům
Rebelové v Syrské vesnici Alawite zabili 21 civilistů	Bomba v Afgánistánu zabila 18 civilistů
Svět posílá humanitární pomoc poničeným Filipínám	Tajfun Haiyan: Svět posílá pomoc na poničené Filipíny
Palestinský hladovkář, Izrael dosáhl dohody	Palestinský aktivista zadržen pri Izraelském náletu
Assad říká, že Sýrie bude dodržovat rezoluci OSN ohledně zbraní	Syrský Assad slibuje, že dodrží rezoluci OSN
Jihokorejský prezident vyjadřuje lítost nad rychlostí pomoci trajektu	Jihokorejský prezident vyjadřuje lítost za neštěstí na trajektu
Zvýšení cen potravin vyvolává v Íránu obavy	Američan Chris Horner vyhrává Závod Španělska
Obama rozhodl o Sýrii na poslední chvíli	Obama prosazuje omezené vojenské akce v Sýrii
Základy Jihoafrické republiky jsou postaveny na památce Nelsona Mandely	Australští politici truchlí nad smrtí Nelsona Mandely
Protesty v Turecku, policie použila slzný plyn na náměstí Taksim	Protesty v Turecku, policie vstoupila na náměstí Taksim
Střelba v Chicagu ukazuje mezery v posílení policie	Střelba v Chicagu ukazuje mezery v posílení policie
Federace se posunula k vyžadování bezpečné komunikace mezi auty	Guatemala převrátila rozsudek bývalého diktátora za genocidu
Vůdci ukrajinských protestů jmenovali ministry, ruské jednotky v pohotovosti	Ukrajina odmítá jednat proti ruské ‚provokaci‘
Severní Korea se vyhýbá nabídce rozhovorů	Severní Korea odpálila 2 rakety
Prince Charles 'přirovnává Putina k Hitlerovi'	Prince Charles 'přirovnává Vladimíra Putina k Adolfu Hitlerovi‘
Malala, Snowden, Bělorusové v užším výběru na Sacharovovu cenu	Uprchlík Snowden v užším výběru na cenu za evropská práva
Írán varuje před vojenskou intervencí v Iráku	exploze nedaleko vojenského letiště v Damašku
Izraelský premiér obviňuje Íránského prezidenta z pokrytectví	Řecký premiér obviňuje koalici z pokrytectví
Jeden mrtvý při kolapsu budovy ve Filadelfii, další vytaženi z trosek	Šest potvrzených mrtvých po kolapsu budovy ve Filadelfii
Střet policie s mládeží v Káhiře po protestu proti Mursímu	Egypt: Střet Policie s demonstranty sympatizujícími s Mursím
Top diplomati se setkají v Mnichově v kritické době	Top diplomati diskutují Íránský jaderný program
Snowden získal uprchlický dekret od Ekvádoru	Snowden připravený odletět z Moskvy
Zpráva presidenta NA Äôse o dni svobody světového tisku	Pákistán se připojil ke dni svobody světového tisku
Ministři zahraničí EU zemí diskutují zbrojní embargo Sýrie	Ministři zahraničí EU zemí hledají řešení na sýrijských zbraní
Počet obětí filipínského zemětřesení stoupl na 185	Počet obětí filipínského zemětřesení stoupl na 144
Náhled akcií po pondělní uzávěrce	Náhled akcií v pondělí
Armádní letouny zabily 38 ozbrojenců při náletech v severozápadním Pákistánu	Americké drony zabily 4 ozbrojence v Pákistánu
Egyptská policie použila slzný plyn na demonstranty v Káhiře	Policie použila slzný plyn na demonstranty v Káhiře
ElBaradei se stal egyptský premiérem	Liberál ElBaradei byl jmenován egyptským premiérem, islamisté pláčou
Filipíny zadržely druhého senátora kvůli korupci	Filipínách se vzpamatovávají po silném tajfunu
Německý vyslanec je optimistický ohledně rozhovorů Íránu a G5	írán ‚opatrně optimistický‘ ohledně budoucích jaderných rozhovorů
Proslulý španělský flamengo-kytarista Paco de Lucía zemřel	Španělský flamengo-kytarista Paco de Lucia zemřel ve věku 66ti let
Čínský ledoborec změnil kurz k podezřelým objektům	Čínské průzkumné letadlo našlo ‚podezřelé objekty‘
Drogový lord byl zajat mariňáky v Mexiku	Podezřelý drogový lord známý jako El Taliban, se nacházel v Mexiku
SC odmítá žádost vlády o přezkum případu daňového poplatku u Vodafone	SC odmítá návrh na petici k verdiktu o daňových poplatcích Vodafone
Výbuch zasahuje ropovod v Sýrských Homs	Výbuch zasahuje potrubí, zatímco Assad útočí na města
Voják z NATO byl zabit při afghánském útoku	Voják z NATO byl zabit v Afghánistánu
Castro v pondělí oslavuje 86. narozeniny	Fidel Castro oslavuje 86. narozeniny
Izraelský bývalý špion varuje před "mesiášskou" íránskou válkou	Izraelský bývalý špionážní šéf: nevěřte vedení nad Íránem - video
Eye Opener: Nejvyšší soud rozhoduje o imigračním právu v Arizoně	Nejvyšší soud Spojených států vydává rozhodnutí o rozdělení imigračního práva v Arizoně
NATO si vytyčuje cestu z Afghánistánu	Šéfové NATO se zavázali k odchodu z Afghánistánu
Podle Sýrie zabil sebevražedný atentátník 10 v Damašku	Damaškový bombový útok zabíl 10
Tropická bouře směřuje k pobřeží Hondurasu	Varování před tropickou bouří pro jihovýchodní pobřeží
Teenager v Číně zabil 8 lidí, 5 ran po útoku nožem	Teenager zabil nožem 8 lidí
Sýrští rebelové přesunují velení od Turecka do Sýrie	Volná syrská armáda přesunuje velitelství z Turecka do Sýrie
Mluvčí Knessetu: Obamovo znovuzvolení je pro Izrael špatné	Sedm států si stěžuje na zákon kontroly porodnosti od Obamovy vlády
Netanyahu se rozhodl oznámit předčasné volby	Izraelský Netanyahu se rozhodl uspořádat předčasné volby
Řecké dluhopisy mají největší restrukturalizaci dluhů v historii	Řecko zajisťuje největší zadlužení v historii
Putin vyhrál ruské prezidentské volby	V ruských prezidentských volbách začíná hlasování
Sebevražedný atentátník zabil 12 lidí v kostele v Nigérii	Sebevražedný atentátník zabil 21 lidí v severozápadním Pákistánu
Indický ministr financí se přestal ucházet o prezidenta	Julian Assange se plánuje ucházet o post do australského senátu
Jerry Sandusky byl shledán vinným ze sexuálního zneužívání dítěte	Sandusky byl shledán vinným ze sexuálního zneužívání dítěte
Tři Tibeťané se obětovali v západní Číně: zpráva	7 Tibeťanů se obětovalo v Číně
Saudisté povolují ženám soutěžit na olympijských hrách	Saudským ženám je umožněno soutěžit na olympijských hrách
Nigerijská univerzitní napadnuta ozbrojenci	 Nigérie: Bombový útok na univerzitu na severu
Spojené státy tvrdí, že jsou připraveny na pomoci slepému čínskému aktivistovi	USA jsou připraveny pomoci čínskému aktivistovi: oficiálně
Čínská vláda slibuje zlepšení ekonomiky	Čínský premiér Wen slibuje vytváření pracovních míst
Annan, šéf OSN vyzval Radu bezpečnosti, aby jednala o Sýrii	Rusko, Čína vetuje Radu bezpečnosti OSN ve věci Sýrie
Green Lantern se znovu představuje jako homosexuál v DC komiksech	Green Lantern se znovu objevuje jako homosexuální superhrdina
Vojenské letadlo havarovalo v jižní Francii: úřady	Vojenské letadlo havarovalo v jihovýchodním Turecku, 1 mrtvý
Tropická bouře Isaac zvyšuje nároky nezaměstnaných	Tropická bouře Joyce se formuje, stále zůstává v otevřeném Atlantiku
Gazané vypálili 2 rakety na Izrael; žádná zranění	2 rakety Gazy zasáhly Izrael; žádná zranění
Romney označil Paula Ryana jako spoluběžícího	Romney jmenoval Ryana jako spoluběžícího
Akcie rostly brzy po řecké dohodě, poté se růst zastavil	Akcie se zvýšily po řecké dohodě
Sebevražedný bombový útok otřásl elitním vojenským táborem v Jemenu	Sebevražední atentátníci zaútočili na vojenské základny v Jemenu
NATO: 2 mezinárodní jednotky byly zabity v Afghánistánu	Tři jednotky NATO byly zabity v Afghánistánu v jeden den
Útočníci v nákupním centru použili strategii "míň je víc".	V Keni útočníci použili strategii "míň je víc".
Představitelé opozice se objeví u připomenutí smrti Kambodžských pracovníků.	Představitelé Kambodžské opozice byli předvoláni k soudu.
Slabé zisky táhnou akcie dolů.	Slabé zisky táhnou akcie na Wall Street dolů.
Zemětřesení o síle 6.8 stupňů zasáhlo Šalamounovo ostrovy.	Rozsáhlé zemětřesení o síle 6.3 zasáhlo Šalamounovo ostrovy: USGS.
Únik kapalného amoniaku zabil v Šanghaji 15 lidí.	Únik kapalného amoniaku zabil v Šanghaji nejméně 15 lidí.
Přátelé Sýrie uznávají opoziční koalici jako legitimní zástupce syrského lidu.	USA, přátelé Sýrie uznávají opozici jako výhradní zástupce.
Weiner zůstane v úřadě starosty NYC po přiznání nového skandálu se sextingem.	Weiner mávnul rukou nad posledním skandálem online sexu.
Počet obětí letecké havárie v Rusku stoupá.	Počet obětí autobusové nehody v Itálii se vyšplhal na 39 obětí.
Indické media: summit Commonwealthu.	Indické PM uráží summit Commonwealthu.
Sebevražedný atentátník zaútočil na pohřeb v Iráku.	Sebevražedný atentátník zaútočil v Sýrii.
7 zadržených lidí pro skandál "domácí sestra".	Čína zadržela 7 lidí pro skandál "domácí sestra".
Náčelník Syrské vojenské policie zběhnul k opozici.	Náčelník Syrské vojenské policie zběhnul k rebelům.
Boeing 787 Dreamliner vzplanul; akcie padají.	Akcie Boeingu padají po požáru na 787 Dreamliner.
Yvette Cooper podporuje zákon o sňatkách gayů.	Bílý dům podporuje svatby gayů.
5 zabitých při havárii autobusu v Belgii.	Teenageři mezi 5 mrtvými při autobusové nehodě v Belgii.
Ozbrojenci unesli sedm zahraničních pracovníků v Nigérii.	Sedm zahraničních pracovníků uneseno v Nigérii.
Švýcarského turistu "znásilnili" v Indii.	Švýcarského turistu znásilnil gang v Indii, říká policie.
Palestinci v rozporu s izraelskými silami ve West bance, Jeruzalém.	Palestinci v rozporu s bezpečnostními silami ve W. bance.
Izraelská letadla udeřila v Sýrii.	Izrael zahajuje nálet na Sýrii.
Íránci hlasují v prezidentských volbách.	Keita vyhrává v prezidentských volbách na Mali.
100 zabito v novém Dárfúru při kmenových střetech.	"9 mrtvých" v novém Dárfúru při kmenových střetech.
Protest proti zásahu amerických dronů v Paku odložen.	6 zabitých při útoku U.S. dronu v severozápadním Pákistánu.
12 lidí zabito při nehodě autobusu v Pákistánu.	10 lidí zabito při silniční nehodě v severozápadním Pákistánu.
Carney nastavuje vysokou laťku pro změnu na BoE.	Carney nastavuje vysokou laťku na změny v Bank of England.
8 lidí zatčeno po smrtícím kolapsu budovy v Bangladéši.	Čtyři lidi zatčeni, počet obětí Bangladéšské budovy vzrostl na 352.
Sebevražedný atentátník zabil 3 lidi na americké základně v Afghánistánu.	Sebevražední atentátníci zaútočili na americkou základnu v Afghánistánu.
Afghánci se hrnou do škol, i přes hrozbu Taliban loom.	Afghánský Guvernér přeběhl k Talibanu.
Severní Korea odložila rodinná setkání s Jihem.	Severní Korea "odloží" rodinné svazky s Jižní Koreou.
Příjmy Applu znovu chybí, iPhone zklamáním.	Pravidla US obchodní agenturu pro Samsung, zakazuje dovoz iPhone 4.
Ozbrojenci zabili 10 zahraničních turistů v severním Pákistánu.	Ozbrojenci zabili 11 zahraničních horolezců v Pákistánu.
David Beckham oznamuje odchod z fotbalu.	David Beckham odejde z fotbalu.
Matt Smith po 4 letech opustí Doctor Who.	Matt Smith ukončí BBC Doctor Who.
Generace rozděleny přes sňatky homosexuálů.	Summit G20 končí rozdělen ohledně Sýrie.
23 lidí zabito při bombardování aut v Iráku.	10 lidí zabito při bombovém útoku v Iráku.
