Dítě v modrobílém dresu běží za fotbalovým míčem.	Mladý chlapec v modrém fotbalovém dresu běží za míčem.
Hráč softbalu odpalující na hřišti.	Hráč baseballu trefující míček.
Černý pes běží za bílým psem ve sněhu.	Černý pes pronásleduje hnědého psa sněhem.
Muž ujíždí na kitesurfu pryč od kamery.	Muž dělá skysurfing na vodě.
Malý kluk staví nějaké dřevěné bloky.	Malý kluk s modrým trikem kupí dřevěné bloky.
Černý pes běží v trávě.	Chlapec běžící skrz zelenou trávu.
Malý chlapec a malá dívka hrající si spolu venku.	Mladý chlapec a mladá dívka jdoucí naproti sobě.
Dva lidé sedí na konci doku.	Dva lidé sedící v doku.
Dva psi na dvorku.	Dva psi v potoce.
Muž pronásledoval psa snažícího se dostat skrz plot na hřiště.	Muž, pronásleduje svého černobílého psa na překážkové dráze.
Velký hnědobílý pes běží sněhem.	Bernardýn běžící zasněženým polem.
Malý bílý pes běžící přes trávník.	Běžící malý bílý pes.
Bílo hnědý pes rychle běží skrz trávu.	Velký bílý pes běží v trávě.
Krvavý muž a žena pózují pro obraz.	Muž a teple oblečená žena pózují pro obraz.
Muž a žena jdou s bílým psem na vodítku.	Muž, žena a pes jdou po zpevněné cestě.
Žlutý pes si hraje na travnaté ploše nedaleko kytek.	Dívka se houpe na houpačce.
Chlapec si hraje s nudlí u bazénu.	Chlapec si hraje s pěnovou nudlovou hračkou u bazénu.
Dva velcí hnědí psi běžící sněhem.	Hnědý pes běžící trávou.
Mladý chlapec skáče do bazénu s roztaženýma rukama.	Pes skáče do bazénu na dvorku.
Dívka drží žlutý balónek ve tvaru zvířete.	Dítě drží žlutý balónek.
Dva psi se dělí o hračku v poli vegetace.	Dva snowboardisté jsou ve vzduchu nad sněhem.
Černý pes běží v trávě.	Černý pes běží skrz trávu.
Blondýna v bílém pózuje pro kameru.	Černobílý pes běží s otevřenou tlamou.
Pes běží skrz pole a pronásleduje míč.	Dítě běží skrz trávu.
Dvě dívky sedí před sochou.	Dvě blondýny sedí vedle sochy.
Mladý chlapec v červeném zimním kabátu drží a jí tyčinku.	Mladý chlapec v červeném kabátu jí čokoládovou tyčinku.
Dívka v oranžovém zapaluje svíčku.	Dívka v oranžovém tričku zapaluje svíčku.
Bílý pes běží skrz pole žlutých kytek.	Pes s červeným obojkem běží uprostřed zimy v lese.
Nemluvně sedící na lůžku se se natahuje, aby se dotklo obličeje staršího chlapce.	Obličeje nemocně vypadajícího chlapce, se dotklo batole.
Pes setřásající vodu.	Pes setřásá vodu.
Mladý chlapec běžící po chodníku.	Černý pes běžící podél oceánu.
Mladé dítě, se klouže po oranžové skluzavce.	Malý chlapec v džínové kombinéze se klouže po oranžové skluzavce.
Černobílý pes běžící mezi nějakými červenobílými stožáry.	Černobílý pes stojící na zadních nohách v obýváku.
Tři jednotlivci na lyžích pózují za cedulí s nápisem zákaz lyžování.	Tři lidé na lyžích stojí za cedulí s nápisem zákaz lyžování.
Muž v bílém obleku jde ulicí držící noviny.	Muž v bílém obleku jde venku držící noviny.
Černobílý pes plavoucí v čisté vodě.	Malý černobílý pes plave ve vodě.
Dva závodní psi, běží v blátě.	Muž jde do vody.
Mladý chlapec skákající do bazénu, kde je zákaz skákání.	Chlapec skáče do bazénu, zatímco plavčík dává pozor.
Černý pes s modrým obojkem běží ve sněhu.	Černý pes v modrém obojku běží sněhem.
